"","X","url_name","user_name","review_links","Rank","Reviews","Helpful_votes","X._helpful","last_page","scraper"
"89",89,"A2PF64RBR1G1SZ","Madison T. Edwards","/gp/cdp/member-reviews/A2PF64RBR1G1SZ/ref=cm_cr_tr_tbl_89_sar?ie=UTF8&sort_by=MostRecentReview","# 89 ",3238,2683,0.96,323,"Curtis"
"90",90,"A3L9FT8OJY4Q6I","Stuart Jefferson","/gp/cdp/member-reviews/A3L9FT8OJY4Q6I/ref=cm_cr_tr_tbl_90_sar?ie=UTF8&sort_by=MostRecentReview","# 90 ",1220,13381,0.96,122,"Ryan"
"91",91,"A15PYCET4XH22X","Liquid Frost","/gp/cdp/member-reviews/A15PYCET4XH22X/ref=cm_cr_tr_tbl_91_sar?ie=UTF8&sort_by=MostRecentReview","# 91 ",823,4613,0.96,82,"Nate"
"92",92,"A19XMHRB3G4DIR","AmazonJavaJunki","/gp/cdp/member-reviews/A19XMHRB3G4DIR/ref=cm_cr_tr_tbl_92_sar?ie=UTF8&sort_by=MostRecentReview","# 92 ",1519,13873,0.96,151,"Joe"
"93",93,"A3GU5PNTT7DRIY","C.R. Hurst","/gp/cdp/member-reviews/A3GU5PNTT7DRIY/ref=cm_cr_tr_tbl_93_sar?ie=UTF8&sort_by=MostRecentReview","# 93 ",282,6023,0.96,28,"Curtis"
"94",94,"AYB4ELCS5AM8P","D. Harriman","/gp/cdp/member-reviews/AYB4ELCS5AM8P/ref=cm_cr_tr_tbl_94_sar?ie=UTF8&sort_by=MostRecentReview","# 94 ",2778,6828,0.96,277,"Ryan"
"95",95,"A3RR2P5IS3DGPR","Dr D","/gp/cdp/member-reviews/A3RR2P5IS3DGPR/ref=cm_cr_tr_tbl_95_sar?ie=UTF8&sort_by=MostRecentReview","# 95 ",1060,6528,0.96,106,"Nate"
"96",96,"A27EE7X7L29UMU","ZapNZs","/gp/cdp/member-reviews/A27EE7X7L29UMU/ref=cm_cr_tr_tbl_96_sar?ie=UTF8&sort_by=MostRecentReview","# 96 ",610,4259,0.96,61,"Joe"
"97",97,"A1JXV4SWMTR3XF","D&D","/gp/cdp/member-reviews/A1JXV4SWMTR3XF/ref=cm_cr_tr_tbl_97_sar?ie=UTF8&sort_by=MostRecentReview","# 97 ",736,9218,0.96,73,"Curtis"
"98",98,"A2W0GY64CJSV5D","FreeSpirit","/gp/cdp/member-reviews/A2W0GY64CJSV5D/ref=cm_cr_tr_tbl_98_sar?ie=UTF8&sort_by=MostRecentReview","# 98 ",504,22687,0.96,50,"Ryan"
"99",99,"A1PAGHECG401K1","Amazon Customer","/gp/cdp/member-reviews/A1PAGHECG401K1/ref=cm_cr_tr_tbl_99_sar?ie=UTF8&sort_by=MostRecentReview","# 99 ",1138,8670,0.96,113,"Nate"
"100",100,"A1WPFIZ8P3O86V","Phil in Mågnoliá","/gp/cdp/member-reviews/A1WPFIZ8P3O86V/ref=cm_cr_tr_tbl_100_sar?ie=UTF8&sort_by=MostRecentReview","# 100 ",1077,4998,0.96,107,"Joe"
"101",101,"A3H4S6YO9VNGDZ","Anthony J.","/gp/cdp/member-reviews/A3H4S6YO9VNGDZ/ref=cm_cr_tr_tbl_101_sar?ie=UTF8&sort_by=MostRecentReview","# 101 ",1075,4446,0.96,107,"Curtis"
"102",102,"A1JUKS0DSO2XZG","Sid Nuncius","/gp/cdp/member-reviews/A1JUKS0DSO2XZG/ref=cm_cr_tr_tbl_102_sar?ie=UTF8&sort_by=MostRecentReview","# 102 ",1290,7177,0.96,129,"Ryan"
"103",103,"A1PSBR3JRZ9VO0","Vdub","/gp/cdp/member-reviews/A1PSBR3JRZ9VO0/ref=cm_cr_tr_tbl_103_sar?ie=UTF8&sort_by=MostRecentReview","# 103 ",397,7418,0.96,39,"Nate"
"104",104,"A14GK0E64J0WAS","Paul Allaer","/gp/cdp/member-reviews/A14GK0E64J0WAS/ref=cm_cr_tr_tbl_104_sar?ie=UTF8&sort_by=MostRecentReview","# 104 ",3119,30202,0.96,311,"Joe"
"105",105,"A3NHUQ33CFH3VM","Afia","/gp/cdp/member-reviews/A3NHUQ33CFH3VM/ref=cm_cr_tr_tbl_105_sar?ie=UTF8&sort_by=MostRecentReview","# 105 ",3573,13691,0.96,357,"Curtis"
"106",106,"A2IK776FY6MEMG","Skipjacks","/gp/cdp/member-reviews/A2IK776FY6MEMG/ref=cm_cr_tr_tbl_106_sar?ie=UTF8&sort_by=MostRecentReview","# 106 ",1110,4172,0.96,111,"Ryan"
"107",107,"A18YMFFJW974QS","CKE","/gp/cdp/member-reviews/A18YMFFJW974QS/ref=cm_cr_tr_tbl_107_sar?ie=UTF8&sort_by=MostRecentReview","# 107 ",1276,22098,0.96,127,"Nate"
"108",108,"A2O489VAPVIH35","Spencer in Seattle","/gp/cdp/member-reviews/A2O489VAPVIH35/ref=cm_cr_tr_tbl_108_sar?ie=UTF8&sort_by=MostRecentReview","# 108 ",1127,2916,0.96,112,"Joe"
"109",109,"A1DLVUJFANNU1Q","TChris","/gp/cdp/member-reviews/A1DLVUJFANNU1Q/ref=cm_cr_tr_tbl_109_sar?ie=UTF8&sort_by=MostRecentReview","# 109 ",1030,12136,0.96,103,"Curtis"
"110",110,"A2MJ8OL2FYN7CW","Lynne E.","/gp/cdp/member-reviews/A2MJ8OL2FYN7CW/ref=cm_cr_tr_tbl_110_sar?ie=UTF8&sort_by=MostRecentReview","# 110 ",1213,11287,0.96,121,"Ryan"
"111",111,"A1ODOGXEYECQQ8","Nuknuk","/gp/cdp/member-reviews/A1ODOGXEYECQQ8/ref=cm_cr_tr_tbl_111_sar?ie=UTF8&sort_by=MostRecentReview","# 111 ",3714,13397,0.96,371,"Nate"
